PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
050417,01-JAN-23,31-DEC-23,As Submitted,103298611,121419563,235699897
050424,01-OCT-22,30-SEP-23,As Submitted,354594309,1193665457,1149263593
050425,01-JAN-23,31-DEC-23,As Submitted,714046457,1450766842,1741905785
050426,01-JAN-23,31-DEC-23,As Submitted,116734779,467195612,111386415
050455,01-JAN-23,31-DEC-23,As Submitted,464173732,1568597247,1409166404
050468,01-JAN-23,31-DEC-23,As Submitted,127093198,587902160,219181340
050471,01-OCT-22,30-SEP-23,As Submitted,325454450,1171893083,528296730
050488,01-JAN-23,31-DEC-23,As Submitted,344802007,892991306,524024133
050496,01-JAN-23,31-DEC-23,As Submitted,539276012,2541357705,1378352716
050498,01-JAN-23,31-DEC-23,As Submitted,157530328,223838405,461826817
050503,01-OCT-22,30-SEP-23,As Submitted,329741492,1347521742,921918170
050510,01-JAN-23,31-DEC-23,As Submitted,254584852,376977635,568737325
050512,01-JAN-23,31-DEC-23,As Submitted,325630558,425171882,836344041
050515,01-JAN-23,31-DEC-23,As Submitted,1096181888,1713988921,2130484275
050517,01-JAN-23,31-DEC-23,As Submitted,88470467,216308571,170090844
050523,01-JAN-23,31-DEC-23,As Submitted,216036098,488046900,488589829
050526,01-JAN-23,31-DEC-23,As Submitted,60327595,161174016,57199517
050528,01-JAN-23,31-DEC-23,As Submitted,76516965,93174708,263823296
050537,01-JAN-23,31-DEC-23,As Submitted,146888604,230493317,376166103
050541,01-JAN-23,31-DEC-23,As Submitted,364572020,716536636,653405967
050549,01-JAN-23,31-DEC-23,As Submitted,423781957,3244478252,1743490749
050557,01-JAN-23,31-DEC-23,As Submitted,693205507,1859740887,1244326485
050561,01-JAN-23,31-DEC-23,As Submitted,510847951,753940530,1231076961
050570,01-JAN-23,31-DEC-23,As Submitted,326019663,2514287155,866607144
050580,01-JAN-23,31-DEC-23,As Submitted,50293493,141257126,54635422
050586,01-JAN-23,31-DEC-23,As Submitted,64536004,215610321,183231606
050588,01-JAN-23,31-DEC-23,As Submitted,55756001,188783324,118667283
050590,01-JAN-23,31-DEC-23,As Submitted,284004048,904572612,612001809
050597,01-JAN-23,31-DEC-23,As Submitted,102759307,379133833,333781524
050604,01-JAN-23,31-DEC-23,As Submitted,509795671,1018294132,1293451720
050608,01-JAN-23,31-DEC-23,As Submitted,86158338,105088589,115268093
050609,01-JAN-23,31-DEC-23,As Submitted,1005440532,1839598302,2018360933
050624,01-OCT-22,30-SEP-23,As Submitted,355772994,1326253296,1086234119
050641,01-JAN-23,31-DEC-23,As Submitted,61259723,224232081,85595481
050660,01-OCT-22,30-SEP-23,As Submitted,,314626322,1510179757
050663,01-JAN-23,31-DEC-23,As Submitted,163725135,631656400,57491452
050674,01-JAN-23,31-DEC-23,As Submitted,751022237,1660541097,1726656734
050677,01-JAN-23,31-DEC-23,As Submitted,451262573,641787008,1064659117
050684,01-JAN-23,31-DEC-23,As Submitted,46160808,116001133,76771871
050686,01-JAN-23,31-DEC-23,As Submitted,546204364,712793282,1274229414
050690,01-JAN-23,31-DEC-23,As Submitted,417329005,740530753,1038029196
050696,01-OCT-22,30-SEP-23,As Submitted,1271935413,3061484741,1691333878
050701,01-JAN-23,31-DEC-23,As Submitted,333414071,1473814706,1296472178
050704,01-JAN-23,31-DEC-23,As Submitted,124235250,546744235,125487463
050708,01-JAN-23,31-DEC-23,As Submitted,90878138,66158487,259168339
050709,01-JAN-23,31-DEC-23,As Submitted,136926976,618003816,315629973
050710,01-JAN-23,31-DEC-23,As Submitted,380977154,674613797,1173997919
050714,01-JAN-23,31-DEC-23,As Submitted,88930362,39026674,213170541
050723,01-JAN-23,31-DEC-23,As Submitted,559335182,754487803,1483132931
050726,01-JAN-23,31-DEC-23,As Submitted,30755893,45695412,137427975
050739,01-JAN-23,31-DEC-23,As Submitted,199467111,867480219,177837113
050744,01-JAN-23,31-DEC-23,As Submitted,80223022,194093503,100278421
050745,01-JAN-23,31-DEC-23,As Submitted,56107453,181123186,51061742
050746,01-JAN-23,31-DEC-23,As Submitted,231636082,779406673,253118314
050747,01-JAN-23,31-DEC-23,As Submitted,70774039,205106646,101346750
050748,01-JAN-23,31-DEC-23,As Submitted,623472086,1162311967,1760111656
